frame_id,group,source_path,timestamp,reason,annotation_path,auto_left_count,auto_right_count,sharpness,suspect_count,expert_reviewed
A_123_FUJI_CNS05330,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05330.JPG,2023-05-25 21:59:04,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05330_自动候选标注.jpg,19,10,188.41915893554688,23,False
A_123_FUJI_CNS05529,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05529.JPG,2023-05-25 22:32:14,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05529_自动候选标注.jpg,18,9,171.71060180664062,17,False
A_123_FUJI_CNS05704,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05704.JPG,2023-05-25 23:01:24,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05704_自动候选标注.jpg,23,9,170.71377563476562,24,False
A_123_FUJI_CNS05707,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05707.JPG,2023-05-25 23:01:54,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05707_自动候选标注.jpg,23,9,169.2533416748047,24,False
A_123_FUJI_CNS05736,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05736.JPG,2023-05-25 23:06:44,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05736_自动候选标注.jpg,22,10,181.99615478515625,22,False
A_123_FUJI_CNS05737,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05737.JPG,2023-05-25 23:06:54,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05737_自动候选标注.jpg,17,9,188.82054138183594,17,False
A_123_FUJI_CNS05976,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05976.JPG,2023-05-25 23:46:44,本组清晰度最低候选,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05976_自动候选标注.jpg,19,9,139.77548217773438,12,False
A_123_FUJI_CNS05977,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05977.JPG,2023-05-25 23:46:54,本组清晰度最低候选,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05977_自动候选标注.jpg,19,9,138.36695861816406,12,False
A_123_FUJI_CNS05978,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05978.JPG,2023-05-25 23:47:04,本组清晰度最低候选,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS05978_自动候选标注.jpg,21,9,138.8441162109375,15,False
A_123_FUJI_CNS09870,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09870.JPG,2023-05-26 10:35:44,停拍缺口前后,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_123_FUJI_CNS09870_自动候选标注.jpg,17,10,187.44297790527344,17,False
A_124_FUJI_CNS00001,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00001.JPG,2023-05-26 10:57:24,停拍缺口前后,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_124_FUJI_CNS00001_自动候选标注.jpg,17,10,191.1009979248047,16,False
A_124_FUJI_CNS00953,A,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00953.JPG,2023-05-26 13:36:04,初始核验某侧差异超过2只,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/A_124_FUJI_CNS00953_自动候选标注.jpg,12,12,176.64903259277344,8,False
B_124_FUJI_CNS03360,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03360.JPG,2023-05-26 20:46:23,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS03360_自动候选标注.jpg,22,18,214.564697265625,44,False
B_124_FUJI_CNS03595,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03595.JPG,2023-05-26 21:25:33,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS03595_自动候选标注.jpg,23,21,237.1671600341797,45,False
B_124_FUJI_CNS03850,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03850.JPG,2023-05-26 22:08:03,本组疑似目标数较多,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS03850_自动候选标注.jpg,24,21,239.08872985839844,46,False
B_124_FUJI_CNS04214,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04214.JPG,2023-05-26 23:08:43,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS04214_自动候选标注.jpg,21,14,224.2222900390625,27,False
B_124_FUJI_CNS04229,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04229.JPG,2023-05-26 23:11:13,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS04229_自动候选标注.jpg,23,15,189.53781127929688,30,False
B_124_FUJI_CNS04841,B,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04841.JPG,2023-05-27 00:53:13,相邻照片计数变化较大，可能是真实移动或计数问题,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/优先复核/B_124_FUJI_CNS04841_自动候选标注.jpg,24,18,213.4768829345703,42,False
