sample_id,frame_id,source_path,annotation_path,unannotated_preview,review_status,reference_notes
A_cal_01,A_123_FUJI_CNS05095,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05095.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_01_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_01_preview.jpg,校准画面与背景,
A_cal_02,A_123_FUJI_CNS05517,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05517.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_02_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_02_preview.jpg,校准画面与背景,
A_cal_03,A_123_FUJI_CNS05939,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05939.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_03_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_03_preview.jpg,校准画面与背景,
A_cal_04,A_123_FUJI_CNS06361,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06361.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_04_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_04_preview.jpg,校准画面与背景,
A_cal_05,A_123_FUJI_CNS06783,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06783.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_05_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_05_preview.jpg,校准画面与背景,
A_cal_06,A_123_FUJI_CNS07205,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07205.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_06_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_06_preview.jpg,校准画面与背景,
A_cal_07,A_123_FUJI_CNS07627,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07627.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_07_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_07_preview.jpg,校准画面与背景,
A_cal_08,A_123_FUJI_CNS08049,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08049.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_08_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_08_preview.jpg,校准画面与背景,
A_cal_09,A_123_FUJI_CNS08471,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08471.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_09_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_09_preview.jpg,校准画面与背景,
A_cal_10,A_123_FUJI_CNS08893,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08893.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_10_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_10_preview.jpg,校准画面与背景,
