frame_id,group,group_label,sequence_index,source_path,relative_path,size_bytes,mtime_ns,split,sample_id
A_123_FUJI_CNS05095,A,ZH11 B3-OE,0,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05095.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05095.JPG,5765968,1685020794000000000,calibration,A_cal_01
A_123_FUJI_CNS05517,A,ZH11 B3-OE,422,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05517.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05517.JPG,5912893,1685025014000000000,calibration,A_cal_02
A_123_FUJI_CNS05939,A,ZH11 B3-OE,844,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05939.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05939.JPG,5952684,1685029234000000000,calibration,A_cal_03
A_123_FUJI_CNS06361,A,ZH11 B3-OE,1266,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06361.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06361.JPG,5937060,1685033454000000000,calibration,A_cal_04
A_123_FUJI_CNS06783,A,ZH11 B3-OE,1688,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06783.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06783.JPG,5955011,1685037674000000000,calibration,A_cal_05
A_123_FUJI_CNS07205,A,ZH11 B3-OE,2110,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07205.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07205.JPG,5966809,1685041894000000000,calibration,A_cal_06
A_123_FUJI_CNS07627,A,ZH11 B3-OE,2532,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07627.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07627.JPG,5960559,1685046114000000000,calibration,A_cal_07
A_123_FUJI_CNS08049,A,ZH11 B3-OE,2954,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08049.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08049.JPG,5968004,1685050334000000000,calibration,A_cal_08
A_123_FUJI_CNS08471,A,ZH11 B3-OE,3376,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08471.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08471.JPG,5964562,1685054554000000000,calibration,A_cal_09
A_123_FUJI_CNS08893,A,ZH11 B3-OE,3798,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08893.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08893.JPG,5962043,1685058774000000000,calibration,A_cal_10
