version,group,sample_id,side,reference_count,auto_count,error,reference_status,notes,reviewer,inspection_before_predictions,independent_human_expert
v1,A,A_val_01,left,13.0,13,0.0,reviewed,右1株基部两只经局部放大确认；顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_01,right,8.0,8,0.0,reviewed,右1株基部两只经局部放大确认；顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_02,left,21.0,20,-1.0,reviewed,左4株基部三只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_02,right,10.0,9,-1.0,reviewed,左4株基部三只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_03,left,21.0,19,-2.0,reviewed,左2株基部四只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_03,right,10.0,10,0.0,reviewed,左2株基部四只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_04,left,20.0,21,1.0,reviewed,左4株相邻两只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_04,right,10.0,9,-1.0,reviewed,左4株相邻两只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_05,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_05,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_06,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_06,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_07,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_07,right,9.0,10,1.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_08,left,19.0,21,2.0,reviewed,右侧最外株顶部部分可见虫；左4株基部悬空和地面虫分开；左5株顶部三只经放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_08,right,9.0,10,1.0,reviewed,右侧最外株顶部部分可见虫；左4株基部悬空和地面虫分开；左5株顶部三只经放大确认,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_09,left,19.0,20,1.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_09,right,10.0,10,0.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_10,left,19.0,18,-1.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_10,right,10.0,10,0.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_11,left,19.0,20,1.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_11,right,10.0,10,0.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_12,left,19.0,20,1.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_12,right,9.0,9,0.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_13,left,17.0,18,1.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_13,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_14,left,18.0,18,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_14,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
